,cellid,smsout0,smsout1,smsout2,smsout3,smsout4,smsout5,smsout6,smsout7,smsout8,smsout9,smsout10,smsout11,smsout12,smsout13,smsout14,smsout15,smsout16,smsout17,smsout18,smsout19,smsout20,smsout21,smsout22,smsout23,hwr
0,3911,0.003938262651079196,0.0029089903816644975,0.0023628798187238535,0.002283615581874222,0.0022326327113552863,0.0016757179123645949,0.0010251011288097702,0.0026102921893940705,0.004961248859087345,0.005800265560463465,0.004730988637385079,0.0034224640302979257,0.007038940249817512,0.008787576046713135,0.005874046070027389,0.006392464367146978,0.006160784574979725,0.01132724535509402,0.008606336461390272,0.006854903898558438,0.008754213536786166,0.0074686098694491075,0.003525726544037532,0.003660847563213434,1
1,3912,0.0027944025319725906,0.0007909075567090687,0.00027540761832681724,0.0,0.0,0.00023192043471654378,0.0011397105917875434,0.0021995143570820662,0.0031280284023344363,0.004608455205310399,0.0042053411870373565,0.002386995945146158,0.00615250942595933,0.006385553721805817,0.005106448524066013,0.003994831739311214,0.006207865908692648,0.010667838724182505,0.008104822326091431,0.007794187349753253,0.008065214316440746,0.008086325541463851,0.005680331274459568,0.004344030299170045,1
2,3913,0.00483534132859096,0.001540947075183646,0.0012848655508041259,0.0011216711677960295,0.0011155479012753794,0.0007314548103163636,0.0011759499493056147,0.003793570200261061,0.007780028393367195,0.007416710677375035,0.012079370810948281,0.007907821822644698,0.014069605461809041,0.013667960932479115,0.008478400246451726,0.007443489849447599,0.01066443772038979,0.011747193561387047,0.013842540774087591,0.012282754152318009,0.012366030425387566,0.01144435934128313,0.010540451406780182,0.005641283360771596,2
3,3914,0.0023080883640144365,0.0003198903209147789,0.0005828126133154444,0.0004929367702961608,0.0006075074098736068,0.0002373735668520423,0.002077854057590641,0.005019173730812992,0.005880587841611084,0.007122468060439027,0.00675896452612798,0.006946148932255851,0.007229957233156521,0.00936752847374908,0.008188989094700104,0.008254645063024995,0.007090317522944766,0.0072881757077920255,0.008621818996589058,0.008158721528914848,0.008595134341084679,0.010064046128837283,0.0066857366778258435,0.003996953350000088,2
4,3915,0.001181075761274106,0.0001442157997880798,0.00014610681205110652,0.0001331401105185808,0.00012095934044927757,8.841703625648977e-05,0.0012955667092861304,0.0056694669795281285,0.005483102303557839,0.008049183708161132,0.009693364123188048,0.009568066454974046,0.01050497880981311,0.011215905954100385,0.007333026388609834,0.009114075827963634,0.006412683131333491,0.011729313485803096,0.0077309161083022,0.007989499171092705,0.004739801801216862,0.006863450681204124,0.005745125090520154,0.0030368059621975253,2
5,3916,0.00019252392853661443,5.627097961302801e-05,2.8549619221598368e-05,0.0,1.0702757242640878e-05,2.4190818901166194e-05,5.0755141874694824e-05,0.00248573202983149,0.001626460289925788,0.002222256951616165,0.002785826875817716,0.0023658155806514504,0.0031506333673225195,0.003394409429798062,0.00244860905078959,0.003282877198249631,0.0012703701322301986,0.0019896464979796166,0.0016810466689276384,0.00270541086128326,0.002072821584886194,0.0024034251930249626,0.0020358137769899724,0.0012051631342909358,2
6,3917,0.0010086324467682946,0.00016125354539123045,0.0002197192576038013,5.5455168707289184e-05,0.0,3.556412946901337e-05,0.0004309719168652448,0.004466255173923692,0.005283619108647522,0.005956565892527036,0.005745665491258483,0.007945434756933947,0.00845311564273018,0.010463920196434617,0.008010243020108726,0.007622997024214593,0.007530153260596941,0.004842059873651215,0.006682244775659846,0.00671277893493627,0.006457800602023566,0.005845008779151358,0.004042867038669864,0.003948272682181995,2
7,3918,0.0003559394356491436,0.0006405449099578736,0.00017938792889725456,0.0001657823048854396,0.00011914133753712628,0.0001676870003887505,0.000825848548108608,0.0018853150985365704,0.002993093161430795,0.0038364906942829633,0.003315920072172337,0.006972638974906261,0.0038320247783178913,0.003969884717218766,0.0031858175281286177,0.0035240858728601623,0.004424512641250297,0.008689573209578015,0.0044620293722697464,0.004209222333844552,0.0054087535071746,0.0034104246149773863,0.002170872639400049,0.0021410220446904443,2
8,3919,0.0009559464423042251,0.0002130482172014443,0.00015405444810453195,0.00011639838541812624,9.835508210787684e-05,0.00015835797343798227,0.0006436634780287573,0.0024002536943908697,0.0018263426940362403,0.0022541929485158595,0.0024415111690436688,0.003021594810789038,0.0022188833252974063,0.0027843538473014055,0.002287813202950977,0.002943445638232691,0.0031355894675133443,0.004310089975696392,0.0028540997084918946,0.003158043755249748,0.00315678889116699,0.0029375975101321164,0.0022501755756693695,0.001239637122192608,2
9,3920,0.0008325388833728497,0.00012592115981648703,4.504768366880774e-05,2.6363754912922547e-05,3.624891342619338e-05,9.524779055157942e-05,0.0003909157296093734,0.002233041780711955,0.0014497071235364842,0.0017422583126579583,0.002183918712843128,0.001872417928540894,0.0015679223396372838,0.002508531717938289,0.002379613888266875,0.002751806088673742,0.0034184625000016895,0.0030200400331168746,0.0025409735153606662,0.0025186758881034395,0.003078094037858136,0.0026979240115073194,0.002307482213105843,0.0006871857033300779,2
