,cellid,callout0,callout1,callout2,callout3,callout4,callout5,callout6,callout7,callout8,callout9,callout10,callout11,callout12,callout13,callout14,callout15,callout16,callout17,callout18,callout19,callout20,callout21,callout22,callout23
0,38.0,7.429697224266085e-05,0.0,0.0,0.0,0.0,0.0,6.4540798379012e-06,2.958871604201837e-05,8.761731244348599e-05,0.0023935446352877,0.0026297667779098,0.0001340627409559,0.0019338927494402,0.0014989862032205,0.0007175360022363,0.0024484766857288,0.0028637822648537,0.0001371894642535,0.0024208424696982,0.0011500127028835,5.032193478426669e-05,5.90722992193504e-05,1.9690766406450134e-05,7.154323653762844e-06
1,7471.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001465529752121,0.00046393899076,2.2099614527931844e-05,2.536842072654968e-05,0.000480135902249,1.040946938010307e-05,1.8845723169159298e-05,0.0019169380991816,2.0290462175183386e-05,2.804909098076365e-05,0.0004397139946052,1.5562002130696035e-05,5.1972772701287525e-06,0.0001511439330601,0.0001084901806007,4.02434451413553e-05,0.0
2,7467.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3379222870828358e-05,0.0008519724885251,0.0014377035743862,4.246018575062858e-05,4.870433071395632e-05,0.0013844552938534,1.998126388264874e-05,3.621604078730085e-05,4.495784373595968e-05,3.871369877263194e-05,5.3699646684618495e-05,0.0015974484159847,2.9971895823973115e-05,9.99063194132437e-06,0.000585731085861,3.901686662557936e-06,1.325420287261522e-06,0.0
3,7465.0,0.0,0.0,0.0,0.0,0.0,0.0,7.069476642407878e-05,5.4840587924229615e-05,0.0,0.001810441538116,0.0020766829407801,0.0,0.0008519724885251,0.0015442001354518,7.022968222723641e-05,0.0016506966965175,0.0022896760629114,0.0,0.0012779587327877,0.0004259862442625,0.0,7.492973955993279e-06,2.4976579853310927e-06,0.0
4,7464.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5911812151416985e-06,1.037963970041243e-05,1.7520302881897804e-05,0.0005762408188458,0.0005746115527149,1.6976911457029522e-05,0.0002293277724469,0.0003427739048541,0.0007643084167095,0.000449924465232,0.0004922819987454,1.9508433312790007e-05,0.0003184894745973,0.0001910574204186,7.21523738071176e-06,0.0003194896831969,0.0001064965610656,0.0
5,7463.0,0.0,0.0,0.0,0.0,0.0,0.0,4.995315970662185e-06,0.0002913161002891,0.0005307977643174,8.637423617011723e-05,0.0001331619284821,0.0005241712858357,0.000154021021318,8.737256588072531e-05,0.0001402684524511,9.291049136337912e-05,0.0001435790247787,0.0005728959211448,8.383709185901776e-05,5.31034289738308e-05,0.0002212768007105,6.004353177747939e-05,2.7793116656461973e-05,0.0
6,7462.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002129931221312,0.0001640267566327,0.0001008993259054,0.0006740357057099,0.0007551222184129,9.623082374679542e-05,0.0003023011658466,0.0005345071876895,4.625115188998136e-06,0.0006186908950609,0.0008161491561121,0.0001069626537357,0.0004387946367655,0.0001621045746973,3.944025577660975e-05,2.006883430624264e-05,6.689611435414214e-06,0.0
7,7461.0,0.0,0.0,0.0,0.0,0.0,0.0,3.111420539017509e-05,1.9981263882648745e-05,3.371838280196976e-05,0.0003997492827214,0.0004359749479751,3.2469553809304206e-05,0.0001705273820139,0.0002985173636558,2.354435353395604e-05,0.000344210631587,0.0004493539792633,3.746486977996639e-05,0.0002492904476397,9.826494176932858e-05,1.3737118919321013e-05,1.093312960543208e-05,4.420269970411278e-06,1.6058620244802114e-05
8,7460.0,0.0,0.0,0.0,0.0,0.0,0.0,3.938153281290027e-05,0.0006891991527724,0.0003178303495364,0.0016544651198683,0.0024667904820823,0.000301484340952,0.0016791580545299,0.0009278013591343,0.0001116650912496,0.0016014887831599,0.0019669051995063,0.0003278646230026,0.0009465438882955,0.0008601924435927,0.0001213004659978,0.0004832438294384,0.0001487145939785,0.0
9,7459.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4635248459882796e-05,0.0022716849982266,0.0003135252266556,0.0010958449264079,0.0008578153326037,0.0002084237327297,0.0007765151957284,0.0005062836491932,0.0020132201389727,0.0009170260952382,0.0007653328332913,0.0004232628907738,0.0007663166217961,0.0005553750105947,0.0001901730305887,0.0006043590772148,0.0002479663952216,6.902428575661254e-07
10,7472.0,0.0,0.0,3.4383540817693715e-05,0.0,0.0,1.2740588522828796e-05,3.996091073249037e-05,0.0010012996382614,0.0011761231868583,0.0044594510863825,0.0057109085968403,0.0017968865507613,0.0028249648510363,0.0030241220876567,0.0018163681681539,0.0039841042987537,0.0045275392826657,0.0016653549705911,0.0042497927328059,0.0029632180237749,0.0005537790019718,0.0009139534919416,0.0003401590241417,0.0002590192159589
