,cellid,smsout0,smsout1,smsout2,smsout3,smsout4,smsout5,smsout6,smsout7,smsout8,smsout9,smsout10,smsout11,smsout12,smsout13,smsout14,smsout15,smsout16,smsout17,smsout18,smsout19,smsout20,smsout21,smsout22,smsout23,h/w
0,5056,0.10173435071639322,0.07104276292719265,0.06441392354910447,0.05916481869755379,0.056024785421574595,0.06565027451558217,0.0618327012218556,0.11756607690345731,0.24800205012419252,0.44167631748215486,0.5791654480952408,0.5794381340157189,0.9999999999999999,0.6521942759188551,0.5533101306051043,0.44182222706044944,0.49429085508111587,0.4342743475402093,0.2745035550141794,0.18878631801393214,0.17709598405853563,0.18635236096209912,0.20163580405518147,0.11959563109223972,1
1,5065,0.021726259723127084,0.029023479745839676,0.018900497572923832,0.008610732396224596,0.006542435650403594,0.010559789868435681,0.016914289148166513,0.050542065787413104,0.1288174429062015,0.17162092678559868,0.2348244072288172,0.15612549279904006,0.31715566539181084,0.23268424018639805,0.21869682887456568,0.2031820959635539,0.19214056342127042,0.18056267458731157,0.15870694780457142,0.16400160806675215,0.11589388126958781,0.07548766658501353,0.10821786978482413,0.09207072218590137,1
2,5076,0.006605145026829767,0.0015441407548461095,0.0008994644221322342,0.0004039883790427075,0.0012795152140667012,0.0004328446918314724,0.0021261857363019305,0.00436779672375892,0.019229193805790672,0.008576777223325146,0.009188835474509131,0.014631335403302699,0.007752449816770201,0.008697555724662407,0.012152510322979624,0.009515369934108871,0.009872269627307821,0.011410705168100685,0.012584632582373374,0.012617973096340981,0.011795240161213996,0.011540886596297314,0.006176563019384438,0.004136946221448802,1
3,5085,0.0006352011614956038,0.00031238753043294,0.003904844130411751,0.0012495501217317602,0.00203051894781411,0.0,0.00047180093959103337,0.0031560717437456353,0.006683084484058376,0.0032897280013707408,0.01016141816103894,0.005902115657976026,0.010048897916702026,0.007624233888103674,0.013350070748408636,0.008668244604661013,0.008614912151956585,0.006793152253258519,0.0031291126426568395,0.004514954717000138,0.0031278512132688566,0.0021966445530771745,0.004415313048429719,0.0026574949229154683,1
4,5093,0.00011605006609182064,0.0,0.0,0.0,0.0,0.0,0.0,0.0002603352500859769,0.003734147631493174,0.0006719025956598608,0.0012716904695436217,0.0011943237588157415,0.0016006948558798014,0.0021687462858933733,0.0038363596150394505,0.0027580859223155303,0.0015620115005158615,0.0036516404126974273,0.0008953051533658244,0.0005206705001719538,0.0008970558163497515,0.0016006948558798014,0.0016006948558798014,0.0008196891056218709,1
5,5153,0.07544825353787675,0.020799113947039795,0.02216199148029552,0.020043766543507355,0.0237118251036431,0.02251287296390497,0.026721349879607868,0.0820070366673619,0.15619032284901305,0.2154910207062561,0.27824270380820343,0.2930618058259235,0.30719849049855563,0.3127680063613572,0.27266943945240885,0.2257883820959432,0.25572196765025756,0.237735742538208,0.29052712619980176,0.18744274439972883,0.14734529997105147,0.15514155396765317,0.09554390752228996,0.07252816723589835,1
6,5168,0.03204359852566311,0.011195449778399468,0.005218264914629731,0.002733472340539017,0.0010964678876493354,0.020211558324980575,0.03139814399864793,0.06857051120415392,0.10505384859455552,0.16711940252765065,0.19593549166861376,0.2121205475829436,0.1646850833527122,0.1288142509847731,0.1231984750494689,0.15852112928541212,0.18336706864014884,0.1780715783278523,0.1542370769880037,0.17083042735426732,0.12864691377652168,0.1535546726318092,0.12574380681714303,0.10937925895738887,1
7,5176,0.006826706271277376,0.0011906509231830473,0.00039688364106101574,1.1383481891443769e-05,0.0007937672821220316,1.1383481891443769e-05,0.0015989180461355073,0.003254753501728233,0.01978880286873309,0.007712184703641095,0.008108425049591975,0.01393646136470133,0.00616954077185267,0.008267793796072186,0.01219109627911657,0.008993260186845556,0.007864673034000822,0.010535260823523844,0.012145562351550796,0.012588623215287722,0.011454889701561898,0.011600693445901008,0.004887821993538073,0.003243370019836789,0
8,5188,0.0002004815251443979,0.001026048274363731,0.0023363867385801933,0.0005253008148764064,0.0012028891508663875,0.0003763174183015561,0.0032012487372970943,0.006106293822840452,0.005424410518932261,0.006585419403510834,0.008800786110318728,0.014251596212949564,0.01142323567873905,0.01092193853216144,0.008297589472713685,0.013230300662324744,0.010949099572699792,0.005831742789401178,0.0072528893289975985,0.00586321860582055,0.004616759013545044,0.005418927866154289,0.003063777024056553,0.0007822953872249316,1
9,5198,0.00765360171144925,0.005209984904738589,0.0047879947052420005,0.005006296787283799,0.004747688530665091,0.007206247608276341,0.007550827084085814,0.007343394646131948,0.015349011776113378,0.012100830354407606,0.011276903888944825,0.009615259583098692,0.010678075097684502,0.011401398920478078,0.014906404146350902,0.009057972987827928,0.013017182811826525,0.010714954630550102,0.011760499295775845,0.012958303541796144,0.015649140819455003,0.01068468808822781,0.01624587927181697,0.010929004085989518,1
