,cellid,internet0,internet1,internet2,internet3,internet4,internet5,internet6,internet7,internet8,internet9,internet10,internet11,internet12,internet13,internet14,internet15,internet16,internet17,internet18,internet19,internet20,internet21,internet22,internet23,h/w
0,4263,0.07776045543225503,0.06730118180714872,0.058208172878753475,0.05328711056290765,0.044524000702769115,0.04589153882798272,0.05288903065645963,0.07494519987664286,0.1259061229501919,0.1154043139996351,0.12261734534902692,0.11850112543552484,0.12545087719796116,0.13224645891028763,0.12813246382014654,0.10653092547212026,0.13067052522249628,0.11899632592517875,0.1287055280593695,0.1279441057039493,0.12669307034670252,0.12060038859611046,0.11638432142015334,0.10567328926542033,1
1,4264,0.08268508594438369,0.07297084232611595,0.05793061931507846,0.055170567768396135,0.04445315470454047,0.04885822690156562,0.053695879289311625,0.07226005743972921,0.13935008798728085,0.13803376756544988,0.14037364274273492,0.13744472757196957,0.14666322430357115,0.15204777928806193,0.13389929864693906,0.12070750063328892,0.13897855072014345,0.12128476116164387,0.13340691013662612,0.12554735974655687,0.1343866197260058,0.12774012008271735,0.1183190174761108,0.11379039378763735,1
2,4265,0.020258553884100146,0.0181729461331419,0.01729548524229294,0.01715365745057877,0.01618974995849406,0.018961467375804775,0.015234039129748453,0.017734898573852187,0.02592766343517896,0.0438422351159239,0.034625773764289415,0.03975073971147544,0.04075226677850896,0.04740784070182305,0.04240862516895444,0.04287492941870929,0.03847465931415283,0.037975756780536364,0.041731048315013744,0.04042401665388423,0.03805556797265606,0.03397153075996906,0.027709861964128828,0.02428497405912855,1
3,4266,0.030075536300966498,0.02627630938100016,0.024599848034669844,0.024796749188467946,0.02281162398013545,0.024254576026631645,0.024682319977932597,0.031093320428464383,0.03787050910287353,0.04589836013431898,0.03787816516183204,0.04149894068985502,0.04557845744509462,0.046777776760197794,0.04096331526474445,0.04000634906607889,0.044332725588725606,0.041861695213051824,0.041031040738670185,0.04452082351469977,0.03870774494877439,0.03860577208401334,0.03328936996650762,0.029667566585694877,1
4,4267,0.03588778120914848,0.03122351298001752,0.028890749459786765,0.02926492163970541,0.02659169998199637,0.027660229131502817,0.02946171457359555,0.03739750619531316,0.04375149642682976,0.045540957987109706,0.03875768739421267,0.042405326364434184,0.04869922118174034,0.04702595381781843,0.04116383981579434,0.03914847672193611,0.046784952473898835,0.043623138884060525,0.04079114731973311,0.04652046647732351,0.03835763306194164,0.04049253195065424,0.03562948321611395,0.03283637788194913,0
5,4268,0.04264674600620293,0.03945652080108806,0.037085692115398215,0.03582706107287656,0.03363715899958864,0.03218599567521704,0.03509773157770032,0.04989594759942327,0.05622314320043627,0.056148911563831026,0.05975869575212321,0.057236818726030675,0.05114353969522414,0.04736884537931478,0.04418752316870649,0.040377739222174906,0.0395074544917477,0.04045727156831491,0.044536730980572696,0.0446386820122826,0.038597823589748705,0.04051147601723026,0.03847484314455221,0.03358314776459358,1
6,4269,0.03254592253508616,0.03063248790814685,0.029694897008346665,0.029137437584539346,0.028234653426833237,0.026628154294354917,0.02928108223303089,0.041228957668708495,0.045591727770564985,0.04576017223464243,0.05019074840380748,0.04701960008214782,0.03952278515486966,0.0341433816737725,0.03127349898701599,0.027254902441101826,0.02695206055208105,0.026948501458036657,0.03121351191767071,0.030037029185017366,0.025914365918937324,0.02790737039268596,0.026418460683907307,0.022520031173728677,0
7,4270,0.01031330773305658,0.009445208305248962,0.00940872965851449,0.00867696818843374,0.008897316375351152,0.00976150385697797,0.01061528262685557,0.012546177178282845,0.01724219118548401,0.01856301520378803,0.018400588731381246,0.016257389686973767,0.014691843631621213,0.017147211459709752,0.015298676451923812,0.01433646586406421,0.01683302281017319,0.016410573356725765,0.015967365742164244,0.01510634917233514,0.013237368049416366,0.01187560473016929,0.011673663303156362,0.01076435979248104,0
8,4271,0.011642052542352685,0.011095111044624304,0.010962705311570184,0.010127166704904185,0.010433666734540251,0.011668517656710238,0.012386672666045406,0.014695207233185108,0.020245341130709943,0.02083126470228915,0.02025479601572293,0.01784684804452865,0.016947957507042224,0.02025120617047083,0.018524025907577332,0.017228406020821832,0.021281799163603433,0.019969302255879846,0.019575507365203786,0.01859165388821121,0.015862706178347858,0.013538976800622484,0.013371139214480828,0.012706901415941267,0
9,4272,0.00914971000491444,0.008355716303774423,0.00837360702725458,0.007634320240650406,0.007880331108057869,0.008803848240899054,0.009595724776745893,0.011039737302699065,0.015702122231623587,0.01722892920807266,0.016797209252667186,0.014830484078220307,0.013470031458384464,0.01614124313232771,0.014363805544095899,0.013513896235702146,0.016019654544990703,0.01567245179973756,0.015096830149291422,0.014201401456898516,0.012486492349046023,0.01112728850629093,0.010956995467133787,0.010109149779215263,1
