,cellid,callin0,callin1,callin2,callin3,callin4,callin5,callin6,callin7,callin8,callin9,callin10,callin11,callin12,callin13,callin14,callin15,callin16,callin17,callin18,callin19,callin20,callin21,callin22,callin23,hw
0,4263,0.008456814275052496,0.00654982063135941,0.0022621281145832144,0.0019146152176771035,0.0015632432637944255,0.0025365857309263243,0.004878520021142876,0.020525026947737182,0.07391654728995554,0.11400361572642087,0.1402660889039097,0.13719570273759069,0.1453601452191363,0.12294964323712279,0.11324800092109036,0.10796204429483411,0.13886944951178068,0.13700424638335754,0.14670098774799514,0.13090511497971447,0.09330706051157041,0.057635317044270204,0.03534876481248226,0.02201255337010397,1
1,4264,0.007724762984834999,0.003905353325035686,0.00204350225166677,0.0007727032817327414,0.0015493076111604029,0.0032269642021064394,0.0020843324811340215,0.01726078968749867,0.07221046316504538,0.12289012295091499,0.14058267016558038,0.15850891548859863,0.14514977905905024,0.11162629440796772,0.1065801690374717,0.10640116667168527,0.1137638288581212,0.1340186841702753,0.12329518416014305,0.10169861984208678,0.07127309203964871,0.044804994630079184,0.02668739186896259,0.017711048478895347,1
2,4265,0.004552049218489129,0.0014344738400164595,0.0007090554474113935,0.0019214968855388681,0.0004988026705201646,0.004562957848618245,0.0019433141457970984,0.01537000474872095,0.047269688153138124,0.08351488032448048,0.08680560759771887,0.1085738950265331,0.10170782720632582,0.07090344289768334,0.07203779554753084,0.09341921029132695,0.0733030381465666,0.09797363053620817,0.08741130429312133,0.06745740904275366,0.040025152430154705,0.027388622092082496,0.01418854721124354,0.010108029087951786,1
3,4266,0.0074700393585215965,0.0026259749051747803,0.0010966314213023967,0.002650726877898755,0.0033972355242870636,0.005224149389686904,0.007215164859891713,0.027972826182102232,0.07706104909356273,0.14140052766583666,0.15553198358867956,0.1507750862309495,0.1779567532484958,0.13691209908636545,0.14263216567171416,0.15364071814514582,0.14537579194148342,0.15337464985520258,0.17165983922340128,0.12993605655292115,0.10455079544639424,0.06517860734233692,0.02919261293181494,0.026387303645409917,1
4,4267,0.008905510156414395,0.0032438742204344505,0.0014836181478282164,0.0029691369303789816,0.005037606467686727,0.005628159761333903,0.009770236678813736,0.03527408502083908,0.092785507735655,0.17142134381212712,0.18990916231962973,0.17531068054354398,0.21476707092958672,0.17464661364410372,0.1817989062054988,0.18509275190350186,0.1823786751869119,0.18477484175723255,0.21975427993155863,0.16274933012969628,0.14032443466134223,0.08602954276929124,0.036479992556080615,0.03558229848554059,1
5,4268,0.01037767332710078,0.0022604918588208737,0.0027847248413530807,0.0014570618874543801,0.0018604515401204093,0.0027635868896638198,0.002970841110848554,0.017335309650468173,0.07109437265929557,0.09903288777754249,0.13375234180610976,0.11002841554714914,0.12737157125507856,0.10417718735811521,0.07836373976761847,0.09148958542400927,0.09798721879642396,0.10263625290202842,0.10641197565965323,0.10589957782117766,0.07802517982963426,0.050718677133823005,0.026272145581171222,0.017418269020716214,1
6,4269,0.008890881872177942,0.0018058610352561675,0.002774097592302148,0.0008862824116726274,0.000980229201940061,0.0019360272447522995,0.0011581044765989585,0.011335355940480836,0.05544962564605238,0.0661329830701375,0.09783503039176575,0.07663734303403126,0.08489814662877507,0.07240173610155182,0.04118959848900475,0.053911285446500076,0.06372570605026716,0.06630521233707731,0.061917537648149334,0.07671129605775608,0.050305639138194976,0.03309105918681943,0.01947420613323392,0.010359310086141245,0
7,4270,0.0012640675301690263,7.624008798815328e-05,0.0005078747258499639,3.812004399407659e-05,0.002218316305660437,0.0010681978559685381,0.0016285209860871128,0.009426435731629,0.01971080782542972,0.02909804721818141,0.029177767703676763,0.029729399241219114,0.02546737044148602,0.032807744095844825,0.024528250980414973,0.024359002665187274,0.03648268337475539,0.03083848783319813,0.0314425692089529,0.03508132323582716,0.03056459422865502,0.012860522728311672,0.006918952915582077,0.005096230303402544,0
8,4271,0.0009348728423879772,0.0,0.0006984063271701312,0.0,0.0015800237186647784,0.001321654888762116,0.0019449034503541008,0.012281676045233184,0.02309138167054796,0.031559950977610794,0.031763521959660417,0.03332164336364038,0.030097347256934085,0.038586360604004034,0.02908740077124996,0.027937963728328952,0.047332116261734926,0.040036344586955624,0.03850020961994247,0.0435612717559745,0.031024311674758075,0.01431273047964884,0.0068666432737132434,0.005447928304688165,0
9,4272,0.0009884436352404298,4.229917064359096e-05,0.0003604281406468687,0.0,0.0021217592706700896,0.0009949483244477148,0.0016069252638308384,0.00906539387674977,0.01768111384772648,0.02658356709382811,0.025366849780250424,0.02698969124985025,0.022046347684261093,0.030372154163765843,0.023714027962430943,0.022903607751498318,0.03424160327392518,0.028360838087573503,0.029531438280379754,0.032083947985690725,0.028350251814944417,0.012040136299032765,0.006180453923922979,0.004825542724494092,1
