hour,cellid,smsin,smsout,callin,callout,internet,h/w
120,4273,0.004185138518935153,0.0009751766778426262,0.000578106151973511,0.0028101683178675587,0.051549521180662125,1
120,4274,0.0008956147486938165,0.0008558308428057143,0.0012538444215413756,0.0019297904624721604,0.018377579058024684,0
120,4275,0.0013240566529872223,0.001171612134095593,0.001669242644905397,0.0023701029681404773,0.020843485804608933,0
120,4276,0.0026541877411196215,0.0015022707641116151,0.001476141301271456,0.004842557792415416,0.0338515939445782,1
120,4277,0.0029371392937012773,0.0016619926230180492,0.0015554668746539965,0.005604429772873447,0.037136796659600846,1
120,4278,0.0029167661684346914,0.0016622758295510404,0.0015359861658756602,0.005443853120792092,0.036507602384571736,1
120,4279,0.004087829031113448,0.0027880729371734148,0.0025887042666010852,0.00529521041535223,0.03850809013153274,1
120,4280,0.006005622264055175,0.004276196072313965,0.0043148666496130444,0.008166881544549729,0.05447397960802206,1
120,4281,0.005193339138059902,0.0035852820413758233,0.0035083023303979412,0.006702161757530792,0.04447078003546406,1
120,4282,0.0022232700798875383,0.001980313939736964,0.0010518366033393169,0.002146596032103647,0.016644143092949433,0
120,4373,0.0019963166511126253,0.0005720770892029434,0.000860017733281632,0.0020674801010211823,0.027862998479348335,0
120,4374,0.0006935611987716751,0.0005374152005571121,0.0013372035860754865,0.0014535493790003692,0.013465916322101444,0
120,4375,0.0008740524768241614,0.0005490475557752166,0.0013861335073034168,0.001600939622204037,0.014538887975462223,0
120,4376,0.0028476304429926914,0.0012579569007437309,0.0021640691556914808,0.003982502242661528,0.03129540058421317,0
120,4377,0.0034126364494886344,0.0015786333681750363,0.0023239783535085523,0.004772373335963186,0.03508316869311806,0
120,4378,0.0030052940095617415,0.0015344752090897097,0.0027987802212625177,0.004937013187615667,0.03513750618883858,0
120,4379,0.0028246074175571675,0.0019179016642171419,0.002104392954726491,0.0026953620126468334,0.02389748055243426,1
120,4380,0.0028009332229915643,0.002122345028928121,0.0022869370318585776,0.004172954935641937,0.03126032751653906,0
120,4381,0.0025077562266983245,0.0019041335480862486,0.002244457525425404,0.004568881513170973,0.031028291779586763,1
120,4382,0.0008270353547994478,0.0009438238447906448,0.0007426814501439861,0.0019210253273339321,0.013429644120606092,0
120,4473,0.00018057674136310667,0.00010982973899343809,0.0004642400514304719,0.0022278147639795023,0.003582333188949574,1
120,4474,0.0003172674149663197,0.00024583891334511114,0.0007372462520632829,0.0006649216461619916,0.006637139445345452,0
120,4475,0.00039698126613975864,0.00022983947855224654,0.0009175724947232163,0.0006100211018815375,0.007763402767104239,0
120,4476,0.0017388711312479508,0.0005440041388895944,0.0025012241090418413,0.0017283709760195275,0.020299859164002523,0
120,4477,0.003275723492887091,0.0011874103130846256,0.003275541640334872,0.002907630895280591,0.027716441041862102,0
